section_a,section_b,paper_similarity
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Epidemiology and Population Studies Unit,0.028428093645484948
RML Microscopy Unit,Coxiella Pathogenesis Section,0.02824858757062147
Immune Activation Section,Genetic Immunotherapy Section,0.028011204481792718
Molecular Signaling Section,Genetic Immunotherapy Section,0.028011204481792718
Physiology Unit,NIAID International Center of Excellence in Research Cambodia,0.027777777777777776
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Fungal Pathogenesis Section,0.026729559748427674
Virus Ecology Section,Immunobiology and Molecular Virology Unit,0.02654867256637168
Infectious Disease Pathogenesis Section,Hepatic Pathogenesis Section,0.02631578947368421
NIAID International Center of Excellence in Research Cambodia,LID Clinical Studies Unit,0.02631578947368421
Molecular Pathogenesis Unit,Innate Immunity and Pathogenesis Section,0.02608695652173913
Malaria Functional Genomics Section,Malaria Cell Biology Section,0.025559105431309903
Twinbrook Imaging Facility,Molecular and Cellular Immunology Section,0.02531645569620253
Transplant Infectious Diseases Consult Service,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.024955436720142603
Signaling Systems Section,Lymphocyte Biology Section,0.024630541871921183
Translational Mycology Section,B-Cell Molecular Immunology Section,0.024509803921568627
Twinbrook Imaging Facility,Malaria Cell Biology Section,0.024509803921568627
Primary Immune Deficiency Clinic,Human Immunological Diseases Section,0.02413793103448276
Salmonella-Host Cell Interactions Section,RML Flow Cytometry Unit,0.024096385542168676
Innate Immunity and Pathogenesis Section,Disease Modeling and Transmission Section,0.023980815347721823
Infectious Disease Fellowship Training Program,Genomic Technologies Section,0.023668639053254437
RML Genomics Unit,Biology of Vector-Borne Viruses Section,0.023622047244094488
RNA Viruses Section,Building NIHAC/103,0.023529411764705882
Molecular Biology Section,Cellular Immunology Section,0.023474178403755867
RML Genomics Unit,International HIV/STD Section,0.023076923076923078
RML Genomics Unit,Genetic Engineering Section,0.023017902813299233
Metaorganism Immunity Section,Barrier Immunity Section,0.02287581699346405
HIV Immunovirology Section,Clinical Research Section,0.0228310502283105
Twinbrook III,Building NIHAC/103,0.022727272727272728
Translational Mycology Section,Neuroimmunological Diseases Section,0.022598870056497175
Metaorganism Immunity Section,Cellular Immunology Section,0.02258064516129032
Pathology Core,Molecular Pathology Section,0.022556390977443608
Translational Allergic Immunopathology Unit,Mast Cell Biology Section,0.022321428571428572
Genomic Technologies Section,B-Cell Molecular Immunology Section,0.022222222222222223
Immunobiology Section,Cell Signaling and Immunity Section,0.022151898734177215
TSE/Prion Molecular Biology Section,RML Microscopy Unit,0.021897810218978103
Immunopathogenesis Section (Laboratory of Immunoregulation),Clinical and Molecular Retrovirology Section,0.021739130434782608
Lymphocyte Biology Section,Cell Signaling and Immunity Section,0.021660649819494584
Malaria Functional Genomics Section,Genomic Technologies Section,0.021367521367521368
Molecular Microbiology Section,Fungal Pathogenesis Section,0.02092050209205021
RML Genomics Unit,Pathogen-Host Cell Biology Section,0.020833333333333332
Translational Allergic Immunopathology Unit,Food Allergy Research Section,0.020833333333333332
Structural Biology Section,Malaria Immunology Section,0.02072538860103627
Pathogenesis and Immunity Section,Epidemiology and Population Studies Unit,0.02054794520547945
Vaccine Development Unit,Epidemiology and Population Studies Unit,0.02054794520547945
Genomic Technologies Section,Epithelial Therapeutics Unit,0.02040816326530612
Neuroimmunological Diseases Section,Lyme Disease Studies Unit,0.020134228187919462
Molecular Microbiology Section,Clinical Pathophysiology Section,0.020100502512562814
HIV-Specific Immunity Section,Barrier Immunity Section,0.0199203187250996
RML Microscopy Unit,Plague Section,0.019867549668874173
Infectious Disease Pathogenesis Section,Genomic Technologies Section,0.019801980198019802
RML Genomics Unit,Host-Parasite Interactions Section,0.019736842105263157
Gene Regulation Section,Bacterial Physiology and Metabolism Unit,0.0196078431372549
Molecular Parasitology Section,Metaorganism Immunity Section,0.019455252918287938
TSE/Prion and Retroviral Pathogenesis Section,Retroviral Immunology Section,0.01935483870967742
Molecular and Cellular Immunoregulation Section,Metaorganism Immunity Section,0.019230769230769232
LID Clinical Studies Unit,Clinical Research Section,0.018867924528301886
Viral Immunology Section,Mucosal Immunobiology Section,0.01875
Viral Pathogenesis and Evolution Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.018367346938775512
RML Microscopy Unit,RML Genomics Unit,0.01818181818181818
Translational Autoinflammatory Disease Studies Unit,B-Cell Immunology Section,0.01818181818181818
RML Microscopy Unit,Molecular Genetics Section (Laboratory of Bacteriology),0.017964071856287425
Structural Immunology Section,B-Cell Immunology Section,0.01775147928994083
Plague Section,Gene Regulation Section,0.017699115044247787
Nonhuman Primate Virology Section,Genetic Engineering Section,0.017582417582417582
Viral Pathogenesis Section (Laboratory of Immunoregulation),Immunopathogenesis Section (Laboratory of Immunoregulation),0.017369727047146403
Viral Pathogenesis Section (Laboratory of Viral Diseases),Viral Immunity and Pathogenesis Unit,0.017045454545454544
Immune Deficiency Genetics Section,Genetic Immunotherapy Section,0.01694915254237288
RML Microscopy Unit,Pathogen Molecular Genetics Section,0.016891891891891893
Malaria Immunology Section,Genomic Technologies Section,0.016877637130801686
Mast Cell Biology Section,Human Eosinophil Section,0.016822429906542057
HIV Pathogenesis Section,Barrier Immunity Section,0.016611295681063124
Lung and Vascular Inflammation Section,B-Cell Molecular Immunology Section,0.016597510373443983
RML Microscopy Unit,Pathogen-Host Cell Biology Section,0.016597510373443983
Biological Imaging,B-Cell Molecular Immunology Section,0.01639344262295082
Multiscale Systems Biology Section,B-Cell Immunology Section,0.01639344262295082
Pathogenesis and Immunity Section,Malaria Cell Biology Section,0.015915119363395226
Vaccine Development Unit,Malaria Cell Biology Section,0.015915119363395226
Multiscale Systems Biology Section,Computational Biology Unit,0.015873015873015872
Vector Molecular Biology Section,Metaorganism Immunity Section,0.015873015873015872
Genomic Technologies Section,Autoimmunity and Functional Genomics Section,0.015625
Innate Immunity and Pathogenesis Section,Immunity to Pulmonary Pathogens Section,0.015384615384615385
Molecular and Cellular Immunoregulation Section,Integrative Immunobiology Section,0.015384615384615385
Twinbrook Imaging Facility,Lymphocyte Activation Section,0.015217391304347827
Molecular Microbiology Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.015128593040847202
Viral Pathogenesis and Vaccine Section,Clinical and Molecular Retrovirology Section,0.014925373134328358
Malaria Infection Biology and Immunity Unit,Antibody Biology Unit,0.014705882352941176
Physiology Unit,Malaria Genetics Section,0.014705882352941176
Pathogen-Host Cell Biology Section,Genetic Immunotherapy Section,0.014619883040935672
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Human Immunological Diseases Section,0.014492753623188406
Malaria Functional Genomics Section,Autoimmunity and Functional Genomics Section,0.014285714285714285
Molecular Development of the Immune System Section,Cell Signaling and Immunity Section,0.014285714285714285
Malaria Cell Biology Section,Apicomplexan Molecular Physiology Section,0.014218009478672985
Genetic Immunotherapy Section,B-Cell Immunology Section,0.014184397163120567
Malaria Immunology Section,Autoimmunity and Functional Genomics Section,0.014150943396226415
Viral Pathogenesis and Evolution Section,Systems Genomics Section,0.014124293785310734
Signaling Systems Section,Multiscale Systems Biology Section,0.014084507042253521
RML Microscopy Unit,Molecular Pathogenesis Unit,0.013986013986013986
Inflammation Biology Section,Genomic Technologies Section,0.013888888888888888
Multiscale Systems Biology Section,Cell Signaling and Immunity Section,0.013793103448275862
Mosquito Immunity and Vector Competence Section,Malaria Cell Biology Section,0.0136986301369863
Molecular Parasitology Section,Immunobiology Section,0.013651877133105802
Molecular Entomology Unit,Infectious Disease Pathogenesis Section,0.013513513513513514
Molecular and Cellular Immunoregulation Section,Immunobiology Section,0.013513513513513514
Molecular Microbiology Section,Infectious Disease Fellowship Training Program,0.013452914798206279
RML Microscopy Unit,Emerging Respiratory Viruses Section,0.013404825737265416
RML Microscopy Unit,Medical Virology Section,0.013404825737265416
Viral Biochemistry Section,Nonhuman Primate Virology Section,0.013215859030837005
Vector Biology Section,Helminth Immunology Section,0.013029315960912053
Lymphocyte Activation Section,Autoimmunity and Functional Genomics Section,0.01293103448275862
Pathology Core,Lymphocyte Activation Section,0.01276595744680851
RML Genomics Unit,Immunity to Pulmonary Pathogens Section,0.012738853503184714
Malaria Infection Biology and Immunity Unit,B-Cell Immunology Section,0.012658227848101266
Mucosal Immunobiology Section,Biological Imaging,0.012658227848101266
RML Flow Cytometry Unit,Biology of Vector-Borne Viruses Section,0.012658227848101266
Epidemiology and Population Studies Unit,Caliciviruses Section,0.012578616352201259
Metaorganism Immunity Section,Lymphocyte Biology Section,0.012461059190031152
Immune Activation Section,DNA Tumor Virus Section,0.012448132780082987
Molecular Signaling Section,DNA Tumor Virus Section,0.012448132780082987
Molecular Defenses Section,Immune Activation Section,0.012195121951219513
Molecular Signaling Section,Molecular Defenses Section,0.012195121951219513
Translational Immunobiology Unit,HIV-Specific Immunity Section,0.012195121951219513
Vector Molecular Biology Section,Molecular Entomology Unit,0.0121580547112462
Malaria Genetics Section,Malaria Cell Biology Section,0.012121212121212121
Molecular Microbiology Section,Inflammation & Innate Immunity Unit,0.012121212121212121
RML Flow Cytometry Unit,Pathogen Molecular Genetics Section,0.012096774193548387
Molecular and Cellular Immunoregulation Section,Cellular Immunology Section,0.012048192771084338
Infectious Disease Fellowship Training Program,HIV Pathogenesis Section,0.012
Structural Immunology Section,HIV Immunovirology Section,0.011976047904191617
Infectious Disease Pathogenesis Section,Chlamydial Diseases Section,0.011904761904761904
Viral Immunity and Pathogenesis Unit,Biological Imaging,0.011904761904761904
Translational Allergic Immunopathology Unit,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.011824324324324325
Molecular Defenses Section,Biological Imaging,0.011764705882352941
Vector Biology Section,Malaria Genetics Section,0.011764705882352941
Molecular and Cellular Immunology Section,Malaria Infection Biology and Immunity Unit,0.011695906432748537
Neuroimmunological Diseases Section,Infectious Disease Fellowship Training Program,0.011695906432748537
Lymphocyte Biology Section,B-Cell Immunology Section,0.011673151750972763
Mucosal Immunobiology Section,Cellular Biology Section,0.011673151750972763
Genomic Technologies Section,Building 33,0.011627906976744186
Viral Budding Unit,Innate Immunity and Pathogenesis Section,0.011627906976744186
Twinbrook Imaging Facility,Food Allergy Research Section,0.011494252873563218
Tuberculosis Research Section,Inflammation & Innate Immunity Unit,0.011406844106463879
Twinbrook Imaging Facility,Computational Biology Unit,0.011363636363636364
Systems Genomics Section,Helminth Immunology Section,0.011299435028248588
Lymphocyte Biology Section,Immunobiology Section,0.011235955056179775
Primary Immune Deficiency Clinic,Emerging Respiratory Viruses Section,0.011204481792717087
Primary Immune Deficiency Clinic,Medical Virology Section,0.011204481792717087
Inflammation Biology Section,Fungal Pathogenesis Section,0.0111731843575419
Molecular Development of the Immune System Section,Emerging Respiratory Viruses Section,0.011111111111111112
Molecular Development of the Immune System Section,Medical Virology Section,0.011111111111111112
Physiology Unit,Pathology Core,0.011111111111111112
Multiscale Systems Biology Section,Lymphocyte Biology Section,0.01098901098901099
Molecular Parasitology Section,Intracellular Parasite Biology Section,0.010810810810810811
Virus Ecology Section,Innate Immunity and Pathogenesis Section,0.010810810810810811
Computational Biology Unit,Barrier Immunity Section,0.010752688172043012
Epithelial Therapeutics Unit,Clinical Pathophysiology Section,0.010752688172043012
Fungal Pathogenesis Section,Epidemiology and Population Studies Unit,0.010752688172043012
Lymphocyte Biology Section,Functional Cellular Networks Section,0.010752688172043012
RML Flow Cytometry Unit,Chlamydial Diseases Section,0.010752688172043012
Molecular Genetics Section (Laboratory of Viral Diseases),DNA Tumor Virus Section,0.010638297872340425
Metaorganism Immunity Section,Cell Signaling and Immunity Section,0.010526315789473684
Translational Allergic Immunopathology Unit,Human Immunological Diseases Section,0.01048951048951049
Infectious Disease Pathogenesis Section,Clinical Pathophysiology Section,0.010416666666666666
Inflammation & Innate Immunity Unit,HIV Pathogenesis Section,0.010416666666666666
Structural Biology Section,Malaria Cell Biology Section,0.010416666666666666
Physiology Unit,Malaria Immunology Section,0.010309278350515464
Viral Immunity and Pathogenesis Unit,Molecular Genetics Section (Laboratory of Viral Diseases),0.01020408163265306
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Immune Deficiency Genetics Section,0.010169491525423728
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),HIV Pathogenesis Section,0.010130246020260492
Translational Autoinflammatory Disease Studies Unit,Neuroimmunological Diseases Section,0.01
Molecular Defenses Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.009966777408637873
Malaria Cell Biology Section,Human Eosinophil Section,0.009933774834437087
T-Cell Tolerance and Memory Section,Malaria Infection Biology and Immunity Unit,0.009900990099009901
HIV-Specific Immunity Section,HIV Immunovirology Section,0.009852216748768473
Viral Pathogenesis Section (Laboratory of Immunoregulation),B-Cell Molecular Immunology Section,0.009852216748768473
Twinbrook Imaging Facility,Apicomplexan Molecular Physiology Section,0.00980392156862745
Viral Pathogenesis Section (Laboratory of Viral Diseases),Emerging Virus Immunity Unit,0.00975609756097561
Disease Modeling and Transmission Section,Biology of Vector-Borne Viruses Section,0.009708737864077669
HIV-Specific Immunity Section,B-Cell Immunology Section,0.009708737864077669
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Emerging Respiratory Viruses Section,0.009685230024213076
Immunopathogenesis Section (Laboratory of Immunoregulation),B-Cell Molecular Immunology Section,0.009685230024213076
Medical Virology Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.009685230024213076
RML Flow Cytometry Unit,Host-Parasite Interactions Section,0.009615384615384616
Viral Budding Unit,Immunity to Pulmonary Pathogens Section,0.009615384615384616
Viral Pathogenesis and Evolution Section,Clinical Research Section,0.009615384615384616
Vector Biology Section,Mosquito Immunity and Vector Competence Section,0.009523809523809525
Structural Immunology Section,LID Clinical Studies Unit,0.009433962264150943
Virus Ecology Section,RML Microscopy Unit,0.009433962264150943
RML Microscopy Unit,Molecular Microbiology Section,0.009389671361502348
Pathology Core,Malaria Cell Biology Section,0.009259259259259259
Twinbrook Imaging Facility,Malaria Infection Biology and Immunity Unit,0.009259259259259259
Molecular Genetics Section (Laboratory of Viral Diseases),Genomic Technologies Section,0.009174311926605505
Helminth Immunology Section,Epidemiology and Population Studies Unit,0.009153318077803204
Pathology Core,Malaria Immunology Section,0.0091324200913242
Viral Pathogenesis and Vaccine Section,HIV-Specific Immunity Section,0.0091324200913242
Salmonella-Host Cell Interactions Section,Chlamydial Diseases Section,0.00909090909090909
Salmonella-Host Cell Interactions Section,Neuroimmunology Unit,0.00909090909090909
Vector Molecular Biology Section,Malaria Functional Genomics Section,0.00909090909090909
Malaria Infection Biology and Immunity Unit,Malaria Immunology Section,0.00904977375565611
Viral Pathogenesis and Evolution Section,Disease Modeling and Transmission Section,0.009041591320072333
Mosquito Immunity and Vector Competence Section,Molecular Entomology Unit,0.009009009009009009
Infectious Disease Pathogenesis Section,Immunobiology Section,0.008968609865470852
Microbial Pathogenesis Section,Inflammation & Innate Immunity Unit,0.008928571428571428
Viral Budding Unit,Viral Biochemistry Section,0.008928571428571428
Immunobiology Section,Helminth Immunology Section,0.008912655971479501
RML Microscopy Unit,Disease Modeling and Transmission Section,0.008888888888888889
Inflammation & Innate Immunity Unit,Genomic Technologies Section,0.008849557522123894
Malaria Infection Biology and Immunity Unit,Apicomplexan Molecular Physiology Section,0.008849557522123894
Mosquito Immunity and Vector Competence Section,Autoimmunity and Functional Genomics Section,0.008849557522123894
T-Cell Tolerance and Memory Section,Structural Immunology Section,0.008849557522123894
Plague Section,Pathogen-Host Cell Biology Section,0.008733624454148471
Viral Biochemistry Section,Barrier Immunity Section,0.008733624454148471
Translational Allergic Immunopathology Unit,T-Lymphocyte Biology Section,0.008695652173913044
Pathogen-Host Cell Biology Section,Clinical Pathophysiology Section,0.008658008658008658
Translational Mycology Section,Molecular Microbiology Section,0.008620689655172414
Type 2 Immunity Section,Malaria Infection Biology and Immunity Unit,0.008620689655172414
Immunobiology Section,Cellular Immunology Section,0.008595988538681949
RML Genomics Unit,Cellular Immunology Section,0.008547008547008548
RML Microscopy Unit,RML Flow Cytometry Unit,0.008547008547008548
Viral Immunology Section,Biological Imaging,0.00847457627118644
T-Lymphocyte Biology Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.008445945945945946
Immunity to Pulmonary Pathogens Section,Gene Regulation Section,0.008403361344537815
RML Flow Cytometry Unit,Caliciviruses Section,0.008403361344537815
Genomic Technologies Section,Antibacterial Host Defense Unit,0.008333333333333333
Multiscale Systems Biology Section,HIV Immunovirology Section,0.008333333333333333
Salmonella-Host Cell Interactions Section,Plague Section,0.008333333333333333
Primary Immune Deficiency Clinic,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.008305647840531562
Mucosal Immunobiology Section,Immune Activation Section,0.008298755186721992
Mucosal Immunobiology Section,Molecular Signaling Section,0.008298755186721992
Mosquito Immunity and Vector Competence Section,Malaria Infection Biology and Immunity Unit,0.008264462809917356
Lyme Disease Studies Unit,Emerging Respiratory Viruses Section,0.00821917808219178
Medical Virology Section,Lyme Disease Studies Unit,0.00821917808219178
RML Microscopy Unit,Food Allergy Research Section,0.00819672131147541
Genomic Technologies Section,Biology of Vector-Borne Viruses Section,0.008130081300813009
Genomic Technologies Section,Emerging Respiratory Viruses Section,0.008130081300813009
Medical Virology Section,Genomic Technologies Section,0.008130081300813009
Pathology Core,Molecular Biology Section,0.008130081300813009
Inflammation Biology Section,Immune Activation Section,0.008097165991902834
Molecular Signaling Section,Inflammation Biology Section,0.008097165991902834
Pathology Core,Molecular Defenses Section,0.008
Translational Allergic Immunopathology Unit,Primary Immune Deficiency Clinic,0.008
Infectious Disease Fellowship Training Program,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.007936507936507936
HIV Pathogenesis Section,B-Cell Immunology Section,0.0078125
Lymphocyte Activation Section,B-Cell Immunology Section,0.007782101167315175
Molecular and Cellular Immunoregulation Section,Lymphocyte Biology Section,0.007751937984496124
RML Microscopy Unit,Biology of Vector-Borne Viruses Section,0.007751937984496124
Translational Mycology Section,HIV Pathogenesis Section,0.007722007722007722
Host-Parasite Interactions Section,Chlamydial Diseases Section,0.007692307692307693
Mucosal Immunobiology Section,Immunobiology Section,0.007692307692307693
LID Clinical Studies Unit,HIV Immunovirology Section,0.007633587786259542
T-Lymphocyte Biology Section,Epidemiology and Population Studies Unit,0.007633587786259542
Molecular Parasitology Section,Inflammation & Innate Immunity Unit,0.007575757575757576
RML Microscopy Unit,Genetic Engineering Section,0.007556675062972292
Viral Pathogenesis Section (Laboratory of Immunoregulation),LID Clinical Studies Unit,0.007518796992481203
Fungal Pathogenesis Section,Epithelial Therapeutics Unit,0.007462686567164179
Innate Immunity and Pathogenesis Section,Genomic Technologies Section,0.007462686567164179
LID Clinical Studies Unit,B-Cell Immunology Section,0.007462686567164179
Primary Immune Deficiency Clinic,Molecular Defenses Section,0.007462686567164179
Salmonella-Host Cell Interactions Section,RML Microscopy Unit,0.007462686567164179
T-Lymphocyte Biology Section,Genomic Technologies Section,0.007462686567164179
Pathology Core,Genomic Technologies Section,0.007407407407407408
RML Flow Cytometry Unit,Immunobiology and Molecular Virology Unit,0.007407407407407408
Viral Pathogenesis Section (Laboratory of Viral Diseases),Structural Informatics Unit,0.007407407407407408
Infectious Disease Fellowship Training Program,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.007352941176470588
Viral Pathogenesis Section (Laboratory of Viral Diseases),Viral Epidemiology and Immunity Unit,0.007352941176470588
RML Microscopy Unit,Apicomplexan Molecular Physiology Section,0.0072992700729927005
TSE/Prion Molecular Biology Section,Retroviral Immunology Section,0.0072992700729927005
Chemotaxis Signal Section,Autoimmunity and Functional Genomics Section,0.007246376811594203
Immunobiology Section,Genomic Technologies Section,0.007246376811594203
Retroviral Immunology Section,Innate Immunity and Pathogenesis Section,0.007246376811594203
Immunopathogenesis Section (Laboratory of Immunoregulation),HIV-Specific Immunity Section,0.007211538461538462
Molecular Defenses Section,Clinical Pathophysiology Section,0.007194244604316547
Mucosal Immunobiology Section,Genomic Technologies Section,0.007194244604316547
Molecular Development of the Immune System Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.007183908045977011
Vector Biology Section,Metaorganism Immunity Section,0.007177033492822967
Primary Immune Deficiency Clinic,Lyme Disease Studies Unit,0.007142857142857143
Translational Mycology Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.007142857142857143
Viral Biology Section,Viral Biochemistry Section,0.007142857142857143
HIV Immunovirology Section,Genetic Immunotherapy Section,0.0071174377224199285
Malaria Infection Biology and Immunity Unit,Helminth Immunology Section,0.0070921985815602835
Vector Biology Section,Systems Genomics Section,0.007075471698113208
Tuberculosis Research Section,Immunobiology Section,0.00702576112412178
Immune Activation Section,B-Cell Molecular Immunology Section,0.007017543859649123
Molecular Signaling Section,B-Cell Molecular Immunology Section,0.007017543859649123
Tuberculosis Research Section,T-Lymphocyte Biology Section,0.007017543859649123
Vector Molecular Biology Section,NIAID International Center of Excellence in Research Cambodia,0.007017543859649123
RML Genomics Unit,Chlamydial Diseases Section,0.006993006993006993
Viral Pathogenesis Section (Laboratory of Viral Diseases),Molecular Genetics Section (Laboratory of Viral Diseases),0.006993006993006993
Vector Biology Section,Physiology Unit,0.006968641114982578
Viral Immunity and Pathogenesis Unit,Genomic Technologies Section,0.006944444444444444
Molecular Defenses Section,Genomic Technologies Section,0.006896551724137931
RML Microscopy Unit,Mosquito Immunity and Vector Competence Section,0.006896551724137931
