section_a,section_b,journal_cat_similarity
HIV Pathogenesis Section,Clinical and Molecular Retrovirology Section,0.48598130841121495
Salmonella-Host Cell Interactions Section,Gene Regulation Section,0.48518518518518516
Viral Immunology Section,B-Cell Immunology Section,0.48514851485148514
Viral Immunology Section,HIV Immunovirology Section,0.48464163822525597
Inflammation & Innate Immunity Unit,B-Cell Immunology Section,0.4835680751173709
B-Cell Immunology Section,Autoimmunity and Functional Genomics Section,0.4834123222748815
RNA Viruses Section,DNA Tumor Virus Section,0.48328267477203646
Helminth Immunology Section,Emerging Respiratory Viruses Section,0.48322147651006714
Medical Virology Section,Helminth Immunology Section,0.48322147651006714
Vector Molecular Biology Section,Vector Biology Section,0.4829700272479564
Molecular and Cellular Immunology Section,Cellular Immunology Section,0.48296593186372744
HIV Immunovirology Section,Autoimmunity and Functional Genomics Section,0.48258706467661694
Viral Biology Section,Neuroimmunology Unit,0.48226950354609927
Molecular and Cellular Immunoregulation Section,Lymphocyte Biology Section,0.4821002386634845
RML Microscopy Unit,Host-Parasite Interactions Section,0.48148148148148145
Molecular and Cellular Immunology Section,Molecular Development of the Immune System Section,0.48134328358208955
Mucosal Immunity Section,Cell Signaling and Immunity Section,0.4811529933481153
T-Lymphocyte Biology Section,Retroviral Immunology Section,0.4803921568627451
Molecular Development of the Immune System Section,Immune Activation Section,0.48031496062992124
Molecular Signaling Section,Molecular Development of the Immune System Section,0.48031496062992124
Viral Biochemistry Section,Caliciviruses Section,0.4779220779220779
Molecular Development of the Immune System Section,B-Cell Molecular Immunology Section,0.47766990291262135
Infectious Disease Pathogenesis Section,Antibacterial Host Defense Unit,0.47706422018348627
Viral Immunology Section,HIV-Specific Immunity Section,0.47619047619047616
Viral Immunology Section,Cellular Biology Section,0.4752851711026616
Viral Immunology Section,Metaorganism Immunity Section,0.4748201438848921
Mucosal Immunobiology Section,Molecular Biology Section,0.4729064039408867
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Immune Deficiency Genetics Section,0.4722938144329897
T-Lymphocyte Biology Section,Mucosal Immunobiology Section,0.47161572052401746
Retroviral Immunology Section,Immunity to Pulmonary Pathogens Section,0.47058823529411764
Molecular Pathogenesis and Biomarkers Section,Malaria Cell Biology Section,0.4703703703703704
Malaria Infection Biology and Immunity Unit,HIV Immunovirology Section,0.4701195219123506
Viral Immunology Section,Molecular and Cellular Immunoregulation Section,0.4692737430167598
Viral Immunity and Pathogenesis Unit,B-Cell Immunology Section,0.46846846846846846
TSE/Prion and Retroviral Pathogenesis Section,DNA Tumor Virus Section,0.46827794561933533
Molecular and Cellular Immunology Section,Immune Activation Section,0.46826758147512865
Molecular and Cellular Immunology Section,Molecular Signaling Section,0.46826758147512865
Molecular Genetics Section (Laboratory of Bacteriology),Gene Regulation Section,0.4680232558139535
Viral Pathogenesis and Vaccine Section,HIV-Specific Immunity Section,0.46799116997792495
Innate Immunity and Pathogenesis Section,HIV Immunovirology Section,0.4678111587982833
Pathogen Molecular Genetics Section,Disease Modeling and Transmission Section,0.46713780918727915
Metaorganism Immunity Section,Immunobiology Section,0.4666666666666667
Malaria Infection Biology and Immunity Unit,Immunity to Pulmonary Pathogens Section,0.4662379421221865
Viral Immunology Section,Viral Immunity and Pathogenesis Unit,0.46616541353383456
Emerging Virus Immunity Unit,Clinical Research Section,0.46613545816733065
RML Microscopy Unit,Plague Section,0.46551724137931033
RML Microscopy Unit,Malaria Cell Biology Section,0.46520874751491054
Pathogen-Host Cell Biology Section,Malaria Cell Biology Section,0.4650817236255572
Viral Immunology Section,Mucosal Immunobiology Section,0.4639175257731959
T-Lymphocyte Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.463519313304721
Plague Section,Gene Regulation Section,0.4633333333333333
Mucosal Immunity Section,Cellular Immunology Section,0.4632768361581921
Type 2 Immunity Section,Plague Section,0.4630225080385852
Viral Immunity and Pathogenesis Unit,Inflammation & Innate Immunity Unit,0.46285714285714286
Molecular Development of the Immune System Section,Clinical and Molecular Retrovirology Section,0.4626391096979332
Pathogen Molecular Genetics Section,Microbial Pathogenesis Section,0.46224417784050814
Mucosal Immunity Section,Metaorganism Immunity Section,0.4619883040935672
Pathogen-Host Cell Biology Section,Coxiella Pathogenesis Section,0.46179401993355484
Pathogen-Host Cell Biology Section,Cellular Biology Section,0.4614285714285714
RML Microscopy Unit,Molecular Pathogenesis and Biomarkers Section,0.46134020618556704
Cell Signaling and Immunity Section,B-Cell Immunology Section,0.46105919003115264
Structural Virology Section,Innate Immunity and Pathogenesis Section,0.4607329842931937
Host-Parasite Interactions Section,Gene Regulation Section,0.4607142857142857
Viral Immunology Section,T-Lymphocyte Biology Section,0.46048109965635736
Molecular Development of the Immune System Section,Cellular Biology Section,0.4603658536585366
Microbial Pathogenesis Section,Disease Modeling and Transmission Section,0.45862732520846694
Innate Immunity and Pathogenesis Section,DNA Tumor Virus Section,0.4583333333333333
Mucosal Immunobiology Section,HIV Immunovirology Section,0.4579831932773109
Molecular and Cellular Immunology Section,Lymphocyte Biology Section,0.4577319587628866
Immunobiology Section,Cellular Biology Section,0.45657894736842103
Retroviral Immunology Section,HIV Immunovirology Section,0.4559748427672956
Retroviral Immunology Section,Barrier Immunity Section,0.4555765595463138
Viral Biochemistry Section,Barrier Immunity Section,0.455535390199637
Viral Pathogenesis Section (Laboratory of Viral Diseases),TSE/Prion Biochemistry Section,0.4538152610441767
Mucosal Immunity Section,Lymphocyte Biology Section,0.453125
Retroviral Immunology Section,Neuroimmunology Unit,0.45294117647058824
Viral Immunology Section,Cell Signaling and Immunity Section,0.45231607629427795
Lymphocyte Biology Section,Cellular Biology Section,0.45166666666666666
Viral Pathogenesis Section (Laboratory of Viral Diseases),Nonhuman Primate Virology Section,0.4515539305301645
Cellular Immunology Section,Barrier Immunity Section,0.45
Viral Pathogenesis and Evolution Section,TSE/Prion and Retroviral Pathogenesis Section,0.44969199178644764
Neuroimmunology Unit,Caliciviruses Section,0.449685534591195
Mucosal Immunity Section,Molecular and Cellular Immunoregulation Section,0.44956140350877194
Retroviral Immunology Section,Cellular Biology Section,0.4486486486486487
Immunity to Pulmonary Pathogens Section,Gene Regulation Section,0.4483870967741935
Retroviral Immunology Section,Innate Immunity and Pathogenesis Section,0.4483870967741935
Plague Section,Chlamydial Diseases Section,0.4482758620689655
Type 2 Immunity Section,HIV Immunovirology Section,0.4482758620689655
Salmonella-Host Cell Interactions Section,RML Microscopy Unit,0.44785276073619634
Viral Biochemistry Section,TSE/Prion and Retroviral Pathogenesis Section,0.44776119402985076
Virus Ecology Section,Viral Pathogenesis and Evolution Section,0.44714038128249567
Mosquito Immunity and Vector Competence Section,Malaria Infection Biology and Immunity Unit,0.4468864468864469
Viral Immunity and Pathogenesis Unit,HIV Immunovirology Section,0.44651162790697674
Cellular Immunology Section,Cellular Biology Section,0.4464
Neuroimmunology Unit,Innate Immunity and Pathogenesis Section,0.44573643410852715
Mucosal Immunobiology Section,Inflammation & Innate Immunity Unit,0.44554455445544555
Immune Activation Section,Human Eosinophil Section,0.44551282051282054
Molecular Signaling Section,Human Eosinophil Section,0.44551282051282054
Pathogen-Host Cell Biology Section,Immunity to Pulmonary Pathogens Section,0.44548872180451127
Viral Biology Section,TSE/Prion and Retroviral Pathogenesis Section,0.4451219512195122
Viral Biology Section,Viral Biochemistry Section,0.44505494505494503
Molecular and Cellular Immunology Section,Cellular Biology Section,0.4446280991735537
Translational Immunobiology Unit,Innate Immunity and Pathogenesis Section,0.4444444444444444
Microbial Pathogenesis Section,Helminth Immunology Section,0.44415069398545937
Molecular and Cellular Immunoregulation Section,Human Eosinophil Section,0.44396551724137934
Immunity to Pulmonary Pathogens Section,HIV-Specific Immunity Section,0.4436781609195402
TSE/Prion and Retroviral Pathogenesis Section,HIV-Specific Immunity Section,0.4436781609195402
RML Microscopy Unit,HIV Immunovirology Section,0.44333333333333336
Type 2 Immunity Section,Malaria Infection Biology and Immunity Unit,0.44280442804428044
Immune Activation Section,Cellular Biology Section,0.44271570014144274
Molecular Signaling Section,Cellular Biology Section,0.44271570014144274
HIV Pathogenesis Section,Clinical Research Section,0.44256756756756754
Immunity to Pulmonary Pathogens Section,Fungal Pathogenesis Section,0.4423076923076923
HIV-Specific Immunity Section,DNA Tumor Virus Section,0.4419753086419753
Viral Immunology Section,Innate Immunity and Pathogenesis Section,0.4417808219178082
Immune Activation Section,HIV Pathogenesis Section,0.4408284023668639
Molecular Signaling Section,HIV Pathogenesis Section,0.4408284023668639
Molecular Genetics Section (Laboratory of Bacteriology),Host-Parasite Interactions Section,0.44063324538258575
Pathogen-Host Cell Biology Section,Immune Activation Section,0.43982808022922637
Pathogen-Host Cell Biology Section,Molecular Signaling Section,0.43982808022922637
Retroviral Immunology Section,Caliciviruses Section,0.43967828418230565
Molecular and Cellular Immunoregulation Section,B-Cell Immunology Section,0.4392523364485981
Malaria Infection Biology and Immunity Unit,Host-Pathogen Interactions and Structural Vaccinology Section,0.43873517786561267
Viral Pathogenesis Section (Laboratory of Viral Diseases),Barrier Immunity Section,0.43866171003717475
Molecular Development of the Immune System Section,Cell Signaling and Immunity Section,0.4386317907444668
Viral Pathogenesis and Evolution Section,Viral Biochemistry Section,0.43833017077798864
Viral Budding Unit,Innate Immunity and Pathogenesis Section,0.43820224719101125
Viral Immunity and Pathogenesis Unit,Mucosal Immunobiology Section,0.4380952380952381
Pathogen Molecular Genetics Section,Malaria Immunology Section,0.43772563176895307
Viral Budding Unit,Structural Virology Section,0.4375
Viral Biochemistry Section,Immunity to Pulmonary Pathogens Section,0.43703703703703706
Viral Biology Section,Caliciviruses Section,0.43613707165109034
Molecular Pathogenesis and Biomarkers Section,Immunity to Pulmonary Pathogens Section,0.43532338308457713
Pathogen-Host Cell Biology Section,Pathogen Molecular Genetics Section,0.4352589641434263
RNA Viruses Section,Barrier Immunity Section,0.4351145038167939
Malaria Cell Biology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.4350828729281768
Viral Immunology Section,Molecular Development of the Immune System Section,0.4350515463917526
Innate Immunity and Pathogenesis Section,Infectious Disease Pathogenesis Section,0.4350282485875706
Pathogen-Host Cell Biology Section,Immunobiology Section,0.43495400788436267
RNA Viruses Section,Nonhuman Primate Virology Section,0.4349442379182156
Molecular Genetics Section (Laboratory of Bacteriology),Chlamydial Diseases Section,0.43478260869565216
RML Microscopy Unit,Gene Regulation Section,0.434640522875817
Type 2 Immunity Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.4346153846153846
Immunobiology Section,Barrier Immunity Section,0.4344919786096257
Molecular Defenses Section,B-Cell Molecular Immunology Section,0.43448275862068964
Structural Virology Section,Structural Biology Section,0.43448275862068964
TSE/Prion Biochemistry Section,Retroviral Immunology Section,0.4342629482071713
Lymphocyte Biology Section,Cellular Immunology Section,0.433852140077821
Immunity to Pulmonary Pathogens Section,HIV Immunovirology Section,0.4336569579288026
Viral Immunology Section,Molecular and Cellular Immunology Section,0.4332552693208431
Molecular and Cellular Immunoregulation Section,Molecular Development of the Immune System Section,0.4331983805668016
Viral Immunology Section,Immune Activation Section,0.43289224952741023
Viral Immunology Section,Molecular Signaling Section,0.43289224952741023
Virus Ecology Section,Immunobiology and Molecular Virology Unit,0.43280632411067194
Immunity to Pulmonary Pathogens Section,Host-Parasite Interactions Section,0.4327485380116959
Molecular Biology Section,HIV Immunovirology Section,0.4325581395348837
Molecular Parasitology Section,Malaria Infection Biology and Immunity Unit,0.4318840579710145
Malaria Immunology Section,Emerging Respiratory Viruses Section,0.43177737881508077
Medical Virology Section,Malaria Immunology Section,0.43177737881508077
Immunopathogenesis Section (Laboratory of Immunoregulation),Clinical and Molecular Retrovirology Section,0.4317241379310345
Pathogen Molecular Genetics Section,Emerging Respiratory Viruses Section,0.4309687261632342
Pathogen Molecular Genetics Section,Medical Virology Section,0.4309687261632342
Immunopathogenesis Section (Laboratory of Immunoregulation),HIV-Specific Immunity Section,0.4307931570762053
Molecular HIV Host Interactions Section,Immunity to Pulmonary Pathogens Section,0.4305177111716621
Helminth Immunology Section,Disease Modeling and Transmission Section,0.42978445460483344
Malaria Genetics Section,Malaria Functional Genomics Section,0.42947368421052634
Molecular Genetics Section (Laboratory of Bacteriology),Immunity to Pulmonary Pathogens Section,0.4292682926829268
Viral Immunity and Pathogenesis Unit,Type 2 Immunity Section,0.4291845493562232
Retroviral Immunology Section,Nonhuman Primate Virology Section,0.42857142857142855
Virus Ecology Section,HIV-Specific Immunity Section,0.42830188679245285
TSE/Prion and Retroviral Pathogenesis Section,Caliciviruses Section,0.4281767955801105
Viral Biology Section,Retroviral Immunology Section,0.4277456647398844
Viral Pathogenesis and Vaccine Section,Viral Pathogenesis Section (Laboratory of Viral Diseases),0.427536231884058
Cellular Biology Section,Cell Signaling and Immunity Section,0.4272890484739677
Genomic Technologies Section,Fungal Pathogenesis Section,0.4271356783919598
Molecular Pathogenesis and Biomarkers Section,Molecular Parasitology Section,0.42691415313225056
Viral Pathogenesis Section (Laboratory of Immunoregulation),Immunobiology and Molecular Virology Unit,0.42677824267782427
Type 2 Immunity Section,Fungal Pathogenesis Section,0.4266666666666667
Inflammation & Innate Immunity Unit,HIV Immunovirology Section,0.4265402843601896
Virus Ecology Section,Retroviral Immunology Section,0.4264705882352941
Structural Biology Section,Antibacterial Host Defense Unit,0.4260869565217391
Immunobiology Section,HIV Pathogenesis Section,0.4260752688172043
Retroviral Immunology Section,Immunobiology and Molecular Virology Unit,0.42592592592592593
Structural Virology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.42574257425742573
Malaria Infection Biology and Immunity Unit,Innate Immunity and Pathogenesis Section,0.42570281124497994
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Biochemistry Section,0.4256619144602851
Molecular Development of the Immune System Section,Lymphocyte Biology Section,0.4252252252252252
Retroviral Immunology Section,Plague Section,0.42480211081794195
Retroviral Immunology Section,RML Microscopy Unit,0.42480211081794195
Plague Section,Molecular Pathogenesis and Biomarkers Section,0.42462311557788945
Immunopathogenesis Section (Laboratory of Immunoregulation),HIV Pathogenesis Section,0.42461964038727523
Viral Pathogenesis Section (Laboratory of Viral Diseases),Plague Section,0.42408376963350786
Neuroimmunology Unit,DNA Tumor Virus Section,0.423841059602649
TSE/Prion Molecular Biology Section,Innate Immunity and Pathogenesis Section,0.423728813559322
HIV-Specific Immunity Section,HIV Immunovirology Section,0.4236842105263158
Mucosal Immunobiology Section,Autoimmunity and Functional Genomics Section,0.4236453201970443
Immunopathogenesis Section (Laboratory of Immunoregulation),Barrier Immunity Section,0.42349726775956287
Molecular and Cellular Immunoregulation Section,Immune Activation Section,0.4232902033271719
Molecular and Cellular Immunoregulation Section,Molecular Signaling Section,0.4232902033271719
Viral Budding Unit,Structural Biology Section,0.4230769230769231
Metaorganism Immunity Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.4230171073094868
Viral Pathogenesis and Evolution Section,Caliciviruses Section,0.42299794661190965
Viral Pathogenesis Section (Laboratory of Viral Diseases),Viral Biology Section,0.4228571428571429
Viral Immunology Section,Autoimmunity and Functional Genomics Section,0.4226415094339623
Molecular Genetics Section (Laboratory of Bacteriology),Coxiella Pathogenesis Section,0.42244897959183675
Virus Ecology Section,Malaria Cell Biology Section,0.42207792207792205
Viral Budding Unit,Infectious Disease Pathogenesis Section,0.421875
Metaorganism Immunity Section,Barrier Immunity Section,0.42158516020236086
HIV Pathogenesis Section,Cell Signaling and Immunity Section,0.42125237191650855
Viral Biology Section,RNA Viruses Section,0.4208955223880597
TSE/Prion Molecular Biology Section,Structural Virology Section,0.4207920792079208
Malaria Immunology Section,Helminth Immunology Section,0.42048293089092426
RML Microscopy Unit,Malaria Infection Biology and Immunity Unit,0.42038216560509556
Molecular and Cellular Immunology Section,Metaorganism Immunity Section,0.4203187250996016
Mosquito Immunity and Vector Competence Section,HIV Immunovirology Section,0.4200743494423792
Viral Pathogenesis Section (Laboratory of Viral Diseases),Caliciviruses Section,0.4199475065616798
Viral Pathogenesis and Evolution Section,TSE/Prion Biochemistry Section,0.419773095623987
Structural Virology Section,RML Flow Cytometry Unit,0.41975308641975306
Emerging Respiratory Viruses Section,Barrier Immunity Section,0.419740777666999
Medical Virology Section,Barrier Immunity Section,0.419740777666999
Viral Biochemistry Section,Plague Section,0.41935483870967744
HIV Pathogenesis Section,Cellular Biology Section,0.41917024320457796
TSE/Prion Molecular Biology Section,Mosquito Immunity and Vector Competence Section,0.4188679245283019
Structural Biology Section,Infectious Disease Pathogenesis Section,0.4186046511627907
Molecular Development of the Immune System Section,HIV Pathogenesis Section,0.41835147744945567
Malaria Infection Biology and Immunity Unit,Genomic Technologies Section,0.4180602006688963
Food Allergy Research Section,Autoimmunity and Functional Genomics Section,0.4178082191780822
Immune Activation Section,Cellular Immunology Section,0.4176
Molecular Signaling Section,Cellular Immunology Section,0.4176
Mucosal Immunobiology Section,Molecular and Cellular Immunoregulation Section,0.4174757281553398
Viral Pathogenesis and Evolution Section,Viral Pathogenesis Section (Laboratory of Viral Diseases),0.4174757281553398
Malaria Cell Biology Section,Immunity to Pulmonary Pathogens Section,0.4174573055028463
Molecular Microbiology Section,Coxiella Pathogenesis Section,0.41734860883797054
Mucosal Immunobiology Section,Cell Signaling and Immunity Section,0.4171974522292994
Virus Ecology Section,RML Microscopy Unit,0.4170305676855895
RML Microscopy Unit,Immunity to Pulmonary Pathogens Section,0.41689373297002724
Immune Activation Section,Barrier Immunity Section,0.4166666666666667
Molecular Signaling Section,Barrier Immunity Section,0.4166666666666667
Structural Immunology Section,Molecular Biology Section,0.4166666666666667
Viral Pathogenesis and Vaccine Section,Viral Biochemistry Section,0.41647597254004576
Immunobiology Section,Cell Signaling and Immunity Section,0.4163934426229508
Molecular Pathogenesis and Biomarkers Section,Molecular Genetics Section (Laboratory of Bacteriology),0.4161073825503356
T-Lymphocyte Biology Section,HIV-Specific Immunity Section,0.416
Molecular Pathogenesis and Biomarkers Section,Coxiella Pathogenesis Section,0.4156378600823045
Viral Pathogenesis Section (Laboratory of Viral Diseases),Innate Immunity and Pathogenesis Section,0.415625
Viral Pathogenesis Section (Laboratory of Viral Diseases),Immunobiology and Molecular Virology Unit,0.4155251141552511
Structural Virology Section,HIV Immunovirology Section,0.41545893719806765
Molecular Biology Section,Cell Signaling and Immunity Section,0.4146341463414634
Viral Immunology Section,Immunity to Pulmonary Pathogens Section,0.4146341463414634
Viral Biochemistry Section,Cellular Biology Section,0.41455160744500846
Pathogen-Host Cell Biology Section,Molecular Development of the Immune System Section,0.41379310344827586
Structural Virology Section,Infectious Disease Pathogenesis Section,0.41379310344827586
Virus Ecology Section,DNA Tumor Virus Section,0.41379310344827586
Malaria Functional Genomics Section,Malaria Cell Biology Section,0.4137466307277628
TSE/Prion Biochemistry Section,Immunobiology and Molecular Virology Unit,0.4132841328413284
Molecular Pathogenesis and Biomarkers Section,Gene Regulation Section,0.4131054131054131
Viral Immunology Section,Lymphocyte Biology Section,0.41299303944315546
Viral Biology Section,Innate Immunity and Pathogenesis Section,0.4128787878787879
Viral Pathogenesis Section (Laboratory of Immunoregulation),Translational Immunobiology Unit,0.4128205128205128
Innate Immunity and Pathogenesis Section,Genomic Technologies Section,0.4128113879003559
T-Lymphocyte Biology Section,Innate Immunity and Pathogenesis Section,0.4127659574468085
Nonhuman Primate Virology Section,Cellular Biology Section,0.4124137931034483
TSE/Prion Biochemistry Section,HIV-Specific Immunity Section,0.41238938053097346
Emerging Virus Immunity Unit,Clinical and Molecular Retrovirology Section,0.41216216216216217
Mucosal Immunity Section,Molecular and Cellular Immunology Section,0.4120982986767486
Malaria Cell Biology Section,Clinical and Molecular Retrovirology Section,0.4120234604105572
DNA Tumor Virus Section,Caliciviruses Section,0.41194029850746267
Tuberculosis Research Section,Microbial Pathogenesis Section,0.4111365369946606
Virus Ecology Section,Viral Pathogenesis Section (Laboratory of Immunoregulation),0.4109848484848485
HIV Pathogenesis Section,Barrier Immunity Section,0.4108983799705449
Microbial Pathogenesis Section,Emerging Respiratory Viruses Section,0.4108843537414966
Microbial Pathogenesis Section,Medical Virology Section,0.4108843537414966
Gene Regulation Section,Coxiella Pathogenesis Section,0.4105793450881612
RNA Viruses Section,Immunobiology and Molecular Virology Unit,0.41037735849056606
Pathogen Molecular Genetics Section,Helminth Immunology Section,0.41022001419446413
Pathogen-Host Cell Biology Section,Fungal Pathogenesis Section,0.41008403361344536
Virus Ecology Section,TSE/Prion Biochemistry Section,0.4098639455782313
Malaria Cell Biology Section,Cellular Biology Section,0.4098591549295775
Host-Pathogen Interactions and Structural Vaccinology Section,HIV Immunovirology Section,0.40963855421686746
Molecular Pathogenesis and Biomarkers Section,Host-Parasite Interactions Section,0.4094488188976378
Lymphocyte Biology Section,Immunobiology Section,0.40929535232383807
Immune Activation Section,B-Cell Molecular Immunology Section,0.4092465753424658
Molecular Signaling Section,B-Cell Molecular Immunology Section,0.4092465753424658
Pathogen-Host Cell Biology Section,Clinical and Molecular Retrovirology Section,0.40915593705293274
RML Flow Cytometry Unit,Inflammation & Innate Immunity Unit,0.40828402366863903
RNA Viruses Section,Neuroimmunology Unit,0.40828402366863903
Virus Ecology Section,Viral Biochemistry Section,0.4079207920792079
Pathogenesis and Immunity Section,Pathogen Molecular Genetics Section,0.40788476118271416
Vaccine Development Unit,Pathogen Molecular Genetics Section,0.40788476118271416
Viral Immunology Section,Neuroimmunology Unit,0.4078549848942598
HIV Pathogenesis Section,Fungal Pathogenesis Section,0.4076655052264808
Viral Pathogenesis Section (Laboratory of Viral Diseases),Cellular Biology Section,0.4076655052264808
Virus Ecology Section,Caliciviruses Section,0.4074074074074074
