section_a,section_b,journal_similarity
Virus Ecology Section,Immunobiology and Molecular Virology Unit,0.28888888888888886
Viral Pathogenesis Section (Laboratory of Viral Diseases),Nonhuman Primate Virology Section,0.2885572139303483
Innate Immunity and Pathogenesis Section,Caliciviruses Section,0.2882882882882883
Molecular and Cellular Immunology Section,Lymphocyte Biology Section,0.28773584905660377
Molecular Genetics Section (Laboratory of Bacteriology),Coxiella Pathogenesis Section,0.2867132867132867
Molecular Development of the Immune System Section,B-Cell Immunology Section,0.2857142857142857
Molecular and Cellular Immunoregulation Section,Cellular Immunology Section,0.2857142857142857
Viral Immunology Section,Autoimmunity and Functional Genomics Section,0.2857142857142857
Barrier Immunity Section,B-Cell Immunology Section,0.2849740932642487
Viral Immunity and Pathogenesis Unit,Cell Signaling and Immunity Section,0.28378378378378377
RML Microscopy Unit,Plague Section,0.2833333333333333
Mast Cell Biology Section,Immune Deficiency Genetics Section,0.2832764505119454
Immunopathogenesis Section (Laboratory of Immunoregulation),HIV Immunovirology Section,0.2830188679245283
TSE/Prion and Retroviral Pathogenesis Section,Neuroimmunology Unit,0.2830188679245283
Molecular and Cellular Immunology Section,Immunobiology Section,0.2827868852459016
Nonhuman Primate Virology Section,Genetic Engineering Section,0.28254847645429365
Pathogenesis and Immunity Section,Malaria Immunology Section,0.2823920265780731
Vaccine Development Unit,Malaria Immunology Section,0.2823920265780731
Molecular Development of the Immune System Section,Cellular Biology Section,0.28214285714285714
T-Lymphocyte Biology Section,Immunity to Pulmonary Pathogens Section,0.2815533980582524
Type 2 Immunity Section,T-Lymphocyte Biology Section,0.2808988764044944
Molecular Genetics Section (Laboratory of Bacteriology),Chlamydial Diseases Section,0.2807017543859649
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Immune Deficiency Genetics Section,0.2797704447632712
Viral Immunity and Pathogenesis Unit,Autoimmunity and Functional Genomics Section,0.27956989247311825
Emerging Respiratory Viruses Section,Disease Modeling and Transmission Section,0.279383429672447
Medical Virology Section,Disease Modeling and Transmission Section,0.279383429672447
Viral Biology Section,RNA Viruses Section,0.27884615384615385
Lymphocyte Biology Section,Cellular Immunology Section,0.2786885245901639
RNA Viruses Section,DNA Tumor Virus Section,0.2777777777777778
Retroviral Immunology Section,Barrier Immunity Section,0.2777777777777778
Pathogenesis and Immunity Section,Malaria Cell Biology Section,0.27666666666666667
Vaccine Development Unit,Malaria Cell Biology Section,0.27666666666666667
Viral Immunity and Pathogenesis Unit,Molecular and Cellular Immunology Section,0.2765957446808511
TSE/Prion and Retroviral Pathogenesis Section,Caliciviruses Section,0.2755905511811024
Viral Biology Section,Caliciviruses Section,0.2743362831858407
Lymphocyte Biology Section,Cellular Biology Section,0.27402135231316727
Malaria Genetics Section,Malaria Functional Genomics Section,0.2737642585551331
Nonhuman Primate Virology Section,Caliciviruses Section,0.273224043715847
RML Flow Cytometry Unit,Inflammation & Innate Immunity Unit,0.2727272727272727
Viral Immunology Section,Cell Signaling and Immunity Section,0.2727272727272727
Retroviral Immunology Section,Nonhuman Primate Virology Section,0.2722222222222222
Viral Biochemistry Section,TSE/Prion and Retroviral Pathogenesis Section,0.272
Virus Ecology Section,Viral Pathogenesis and Evolution Section,0.272
T-Lymphocyte Biology Section,Malaria Infection Biology and Immunity Unit,0.2717391304347826
Type 2 Immunity Section,Malaria Infection Biology and Immunity Unit,0.2717391304347826
Innate Immunity and Pathogenesis Section,Biology of Vector-Borne Viruses Section,0.2716049382716049
Viral Immunity and Pathogenesis Unit,Inflammation & Innate Immunity Unit,0.2716049382716049
Neuroimmunology Unit,Caliciviruses Section,0.26956521739130435
HIV Immunovirology Section,Barrier Immunity Section,0.2694300518134715
Molecular and Cellular Immunology Section,Molecular Development of the Immune System Section,0.26851851851851855
Molecular Development of the Immune System Section,Metaorganism Immunity Section,0.26848249027237353
Cell Signaling and Immunity Section,Autoimmunity and Functional Genomics Section,0.26811594202898553
Cellular Immunology Section,Cellular Biology Section,0.26811594202898553
Viral Immunity and Pathogenesis Unit,Cellular Biology Section,0.2679425837320574
Mucosal Immunobiology Section,Autoimmunity and Functional Genomics Section,0.26666666666666666
T-Lymphocyte Biology Section,Mucosal Immunobiology Section,0.26595744680851063
Mucosal Immunity Section,Cellular Immunology Section,0.26556016597510373
Molecular Pathogenesis and Biomarkers Section,Malaria Cell Biology Section,0.2647058823529412
Immunopathogenesis Section (Laboratory of Immunoregulation),B-Cell Immunology Section,0.26461538461538464
HIV-Specific Immunity Section,Cellular Biology Section,0.2644628099173554
Pathology Core,Autoimmunity and Functional Genomics Section,0.26436781609195403
RNA Viruses Section,Immunobiology and Molecular Virology Unit,0.2642857142857143
T-Lymphocyte Biology Section,RML Flow Cytometry Unit,0.2638888888888889
Plague Section,Gene Regulation Section,0.26373626373626374
Retroviral Immunology Section,Innate Immunity and Pathogenesis Section,0.2636363636363636
T-Lymphocyte Biology Section,Retroviral Immunology Section,0.2636363636363636
Salmonella-Host Cell Interactions Section,Gene Regulation Section,0.2631578947368421
Nonhuman Primate Virology Section,HIV-Specific Immunity Section,0.2623762376237624
RNA Viruses Section,HIV-Specific Immunity Section,0.2620689655172414
Innate Immunity and Pathogenesis Section,Immunobiology and Molecular Virology Unit,0.2619047619047619
RNA Viruses Section,Neuroimmunology Unit,0.2616822429906542
Nonhuman Primate Virology Section,Barrier Immunity Section,0.2606837606837607
Salmonella-Host Cell Interactions Section,Plague Section,0.2604166666666667
RNA Viruses Section,Barrier Immunity Section,0.2598870056497175
Viral Pathogenesis Section (Laboratory of Viral Diseases),Retroviral Immunology Section,0.2597402597402597
Immunobiology and Molecular Virology Unit,DNA Tumor Virus Section,0.2595419847328244
Molecular and Cellular Immunology Section,Autoimmunity and Functional Genomics Section,0.2595419847328244
Virus Ecology Section,Disease Modeling and Transmission Section,0.2594458438287154
Viral Pathogenesis Section (Laboratory of Viral Diseases),DNA Tumor Virus Section,0.2589928057553957
Genetic Immunotherapy Section,Clinical Pathophysiology Section,0.25853658536585367
T-Cell Tolerance and Memory Section,Inflammation & Innate Immunity Unit,0.25806451612903225
Molecular and Cellular Immunology Section,Metaorganism Immunity Section,0.2579185520361991
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Molecular Biology Section,0.2571428571428571
Viral Pathogenesis and Evolution Section,Caliciviruses Section,0.25688073394495414
Mucosal Immunobiology Section,Inflammation & Innate Immunity Unit,0.2564102564102564
Viral Immunology Section,Molecular Biology Section,0.2556390977443609
Mucosal Immunobiology Section,Molecular Biology Section,0.2549019607843137
Viral Budding Unit,Structural Biology Section,0.2549019607843137
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Biochemistry Section,0.2543352601156069
Pathogen-Host Cell Biology Section,Microbial Pathogenesis Section,0.25405405405405407
Viral Immunity and Pathogenesis Unit,Metaorganism Immunity Section,0.25405405405405407
TSE/Prion and Retroviral Pathogenesis Section,Retroviral Immunology Section,0.25396825396825395
Pathology Core,Inflammation & Innate Immunity Unit,0.25333333333333335
Viral Pathogenesis Section (Laboratory of Viral Diseases),TSE/Prion and Retroviral Pathogenesis Section,0.25333333333333335
Viral Immunity and Pathogenesis Unit,Retroviral Immunology Section,0.25210084033613445
Mucosal Immunity Section,Metaorganism Immunity Section,0.25196850393700787
Viral Immunology Section,HIV-Specific Immunity Section,0.25149700598802394
HIV Pathogenesis Section,HIV Immunovirology Section,0.25
Molecular and Cellular Immunoregulation Section,Immunobiology Section,0.25
Pathogen Molecular Genetics Section,Microbial Pathogenesis Section,0.25
Protein Chemistry Section,Office of the Animal Program Director,0.25
Viral Immunity and Pathogenesis Unit,Inflammation Biology Section,0.25
Viral Pathogenesis Section (Laboratory of Viral Diseases),Barrier Immunity Section,0.25
Cellular Biology Section,Barrier Immunity Section,0.2490974729241877
Pathogen-Host Cell Biology Section,Malaria Cell Biology Section,0.2490272373540856
Molecular Pathogenesis and Biomarkers Section,Malaria Immunology Section,0.24880382775119617
Molecular and Cellular Immunoregulation Section,Molecular Development of the Immune System Section,0.24880382775119617
RML Microscopy Unit,Mosquito Immunity and Vector Competence Section,0.24786324786324787
Immunopathogenesis Section (Laboratory of Immunoregulation),Barrier Immunity Section,0.24728260869565216
T-Lymphocyte Biology Section,Metaorganism Immunity Section,0.24719101123595505
RML Flow Cytometry Unit,Autoimmunity and Functional Genomics Section,0.2463768115942029
Molecular and Cellular Immunoregulation Section,Autoimmunity and Functional Genomics Section,0.2459016393442623
Pathogenesis and Immunity Section,Emerging Respiratory Viruses Section,0.2457831325301205
Pathogenesis and Immunity Section,Medical Virology Section,0.2457831325301205
Vaccine Development Unit,Emerging Respiratory Viruses Section,0.2457831325301205
Vaccine Development Unit,Medical Virology Section,0.2457831325301205
Molecular and Cellular Immunology Section,B-Cell Molecular Immunology Section,0.24571428571428572
Viral Budding Unit,Structural Virology Section,0.24561403508771928
Molecular Defenses Section,B-Cell Molecular Immunology Section,0.2446043165467626
Molecular Biology Section,Inflammation & Innate Immunity Unit,0.24390243902439024
Mucosal Immunity Section,Barrier Immunity Section,0.24380165289256198
Viral Immunology Section,Immunobiology Section,0.24380165289256198
Molecular Biology Section,Cell Signaling and Immunity Section,0.24342105263157895
Structural Immunology Section,Molecular Biology Section,0.24324324324324326
Mucosal Immunity Section,Molecular and Cellular Immunology Section,0.24299065420560748
RML Microscopy Unit,Molecular Microbiology Section,0.24277456647398843
Immunobiology and Molecular Virology Unit,Disease Modeling and Transmission Section,0.24210526315789474
Viral Pathogenesis and Vaccine Section,Retroviral Immunology Section,0.24203821656050956
T-Lymphocyte Biology Section,HIV-Specific Immunity Section,0.24060150375939848
Viral Immunity and Pathogenesis Unit,Mucosal Immunobiology Section,0.2403846153846154
Viral Biochemistry Section,HIV-Specific Immunity Section,0.24025974025974026
Viral Immunology Section,Cellular Immunology Section,0.24019607843137256
Viral Budding Unit,Translational Immunobiology Unit,0.23943661971830985
Viral Budding Unit,Viral Biology Section,0.23943661971830985
Mast Cell Biology Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.23910171730515192
TSE/Prion Molecular Biology Section,TSE/Prion Biochemistry Section,0.2389937106918239
DNA Tumor Virus Section,Biology of Vector-Borne Viruses Section,0.23863636363636365
RML Microscopy Unit,Malaria Cell Biology Section,0.23857868020304568
Vector Molecular Biology Section,Helminth Immunology Section,0.2385496183206107
Malaria Immunology Section,Emerging Respiratory Viruses Section,0.23848238482384823
Medical Virology Section,Malaria Immunology Section,0.23848238482384823
T-Cell Tolerance and Memory Section,Mucosal Immunobiology Section,0.23809523809523808
Molecular Development of the Immune System Section,Cellular Immunology Section,0.23715415019762845
Viral Pathogenesis Section (Laboratory of Viral Diseases),Immunobiology and Molecular Virology Unit,0.23699421965317918
T-Lymphocyte Biology Section,Pathology Core,0.23655913978494625
Viral Pathogenesis and Vaccine Section,Viral Pathogenesis Section (Laboratory of Viral Diseases),0.23626373626373626
Viral Immunology Section,Molecular Development of the Immune System Section,0.2358490566037736
Immunopathogenesis Section (Laboratory of Immunoregulation),Cellular Biology Section,0.2354368932038835
Retroviral Immunology Section,Immunobiology and Molecular Virology Unit,0.2348993288590604
TSE/Prion and Retroviral Pathogenesis Section,HIV-Specific Immunity Section,0.2348993288590604
Molecular Pathogenesis Unit,Immunobiology and Molecular Virology Unit,0.23484848484848486
Viral Immunology Section,Mucosal Immunobiology Section,0.23484848484848486
Viral Immunology Section,Inflammation & Innate Immunity Unit,0.23423423423423423
Molecular Genetics Section (Laboratory of Viral Diseases),DNA Tumor Virus Section,0.23376623376623376
Mucosal Immunobiology Section,Metaorganism Immunity Section,0.23369565217391305
Viral Immunology Section,Inflammation Biology Section,0.23357664233576642
Retroviral Immunology Section,Cellular Biology Section,0.23348017621145375
Clinical and Molecular Retrovirology Section,B-Cell Immunology Section,0.23333333333333334
T-Lymphocyte Biology Section,Cell Signaling and Immunity Section,0.2328767123287671
Viral Biochemistry Section,Neuroimmunology Unit,0.23275862068965517
Mucosal Immunobiology Section,Molecular and Cellular Immunology Section,0.2323943661971831
T-Lymphocyte Biology Section,Molecular and Cellular Immunology Section,0.2318840579710145
Viral Pathogenesis and Evolution Section,Disease Modeling and Transmission Section,0.23178807947019867
Neuroimmunology Unit,Innate Immunity and Pathogenesis Section,0.23157894736842105
DNA Tumor Virus Section,Caliciviruses Section,0.23140495867768596
Viral Pathogenesis and Vaccine Section,B-Cell Immunology Section,0.23121387283236994
Emerging Respiratory Viruses Section,Barrier Immunity Section,0.23119777158774374
Medical Virology Section,Barrier Immunity Section,0.23119777158774374
RML Microscopy Unit,Pathogen-Host Cell Biology Section,0.23115577889447236
Viral Immunity and Pathogenesis Unit,Cellular Immunology Section,0.2303370786516854
Neuroimmunology Unit,DNA Tumor Virus Section,0.23
T-Lymphocyte Biology Section,Molecular Biology Section,0.23
Viral Pathogenesis and Vaccine Section,Viral Immunology Section,0.22988505747126436
Genetic Engineering Section,Emerging Respiratory Viruses Section,0.22983870967741934
Medical Virology Section,Genetic Engineering Section,0.22983870967741934
Molecular and Cellular Immunoregulation Section,Molecular Biology Section,0.22962962962962963
Translational Immunobiology Unit,HIV-Specific Immunity Section,0.22962962962962963
Viral Pathogenesis and Evolution Section,Viral Pathogenesis Section (Laboratory of Viral Diseases),0.22950819672131148
RML Flow Cytometry Unit,Infectious Disease Pathogenesis Section,0.22916666666666666
Malaria Infection Biology and Immunity Unit,Malaria Cell Biology Section,0.22905027932960895
RML Microscopy Unit,Gene Regulation Section,0.22857142857142856
Mucosal Immunobiology Section,Barrier Immunity Section,0.22807017543859648
Virus Ecology Section,Caliciviruses Section,0.22727272727272727
Viral Immunology Section,Barrier Immunity Section,0.22660098522167488
Neuroimmunology Unit,HIV-Specific Immunity Section,0.22627737226277372
Molecular and Cellular Immunology Section,Molecular Biology Section,0.22602739726027396
Signaling Systems Section,Functional Cellular Networks Section,0.22580645161290322
Viral Pathogenesis and Vaccine Section,Barrier Immunity Section,0.22535211267605634
Cell Signaling and Immunity Section,B-Cell Immunology Section,0.22527472527472528
Mucosal Immunobiology Section,Cell Signaling and Immunity Section,0.2251655629139073
Nonhuman Primate Virology Section,Emerging Respiratory Viruses Section,0.225
Nonhuman Primate Virology Section,Medical Virology Section,0.225
Innate Immunity and Pathogenesis Section,DNA Tumor Virus Section,0.22448979591836735
Molecular and Cellular Immunology Section,B-Cell Immunology Section,0.22413793103448276
T-Lymphocyte Biology Section,Immunobiology Section,0.22380952380952382
Viral Budding Unit,DNA Tumor Virus Section,0.2236842105263158
Viral Pathogenesis and Evolution Section,Immunobiology and Molecular Virology Unit,0.22362869198312235
Translational Immunobiology Unit,Innate Immunity and Pathogenesis Section,0.22340425531914893
Gene Regulation Section,Coxiella Pathogenesis Section,0.2222222222222222
Mucosal Immunity Section,Molecular and Cellular Immunoregulation Section,0.2222222222222222
RNA Viruses Section,Innate Immunity and Pathogenesis Section,0.2222222222222222
Signaling Systems Section,Computational Biology Unit,0.2222222222222222
Viral Immunology Section,HIV Immunovirology Section,0.2222222222222222
Pathogen-Host Cell Biology Section,Cellular Biology Section,0.22108843537414966
Retroviral Immunology Section,RML Flow Cytometry Unit,0.22105263157894736
Viral Pathogenesis and Vaccine Section,HIV Immunovirology Section,0.22093023255813954
Viral Immunology Section,Immune Activation Section,0.22077922077922077
Viral Immunology Section,Molecular Signaling Section,0.22077922077922077
Viral Pathogenesis and Vaccine Section,RNA Viruses Section,0.22077922077922077
Clinical Research Section,B-Cell Immunology Section,0.22043010752688172
Translational Immunobiology Unit,RNA Viruses Section,0.22018348623853212
HIV-Specific Immunity Section,Caliciviruses Section,0.22012578616352202
Molecular and Cellular Immunoregulation Section,B-Cell Immunology Section,0.21951219512195122
TSE/Prion and Retroviral Pathogenesis Section,DNA Tumor Virus Section,0.21929824561403508
TSE/Prion and Retroviral Pathogenesis Section,Immunobiology and Molecular Virology Unit,0.2191780821917808
Viral Immunology Section,B-Cell Molecular Immunology Section,0.21893491124260356
Mucosal Immunity Section,Cellular Biology Section,0.21875
Virus Ecology Section,Systems Genomics Section,0.21862348178137653
Molecular Biology Section,Inflammation Biology Section,0.21818181818181817
Viral Biology Section,TSE/Prion and Retroviral Pathogenesis Section,0.21818181818181817
Neuroimmunology Unit,Immunobiology and Molecular Virology Unit,0.21804511278195488
RML Microscopy Unit,Genomic Technologies Section,0.21804511278195488
Metaorganism Immunity Section,Barrier Immunity Section,0.2178988326848249
Mucosal Immunity Section,Lymphocyte Biology Section,0.2178988326848249
Molecular Biology Section,Cellular Immunology Section,0.21787709497206703
Immunopathogenesis Section (Laboratory of Immunoregulation),Clinical and Molecular Retrovirology Section,0.21761658031088082
Malaria Infection Biology and Immunity Unit,Autoimmunity and Functional Genomics Section,0.21739130434782608
B-Cell Molecular Immunology Section,Autoimmunity and Functional Genomics Section,0.21705426356589147
Retroviral Immunology Section,Immunity to Pulmonary Pathogens Section,0.21705426356589147
HIV Pathogenesis Section,B-Cell Immunology Section,0.2169811320754717
Microbial Pathogenesis Section,Malaria Immunology Section,0.21671018276762402
Retroviral Immunology Section,Inflammation & Innate Immunity Unit,0.21649484536082475
TSE/Prion Molecular Biology Section,Structural Biology Section,0.21621621621621623
Viral Pathogenesis and Vaccine Section,Viral Immunity and Pathogenesis Unit,0.21621621621621623
Malaria Functional Genomics Section,Malaria Cell Biology Section,0.2159090909090909
Viral Biochemistry Section,Barrier Immunity Section,0.21578947368421053
Pathogen-Host Cell Biology Section,Immunobiology Section,0.21548821548821548
RML Flow Cytometry Unit,Mucosal Immunobiology Section,0.21518987341772153
Salmonella-Host Cell Interactions Section,Mosquito Immunity and Vector Competence Section,0.21505376344086022
Viral Budding Unit,Viral Biochemistry Section,0.21505376344086022
Viral Immunology Section,Metaorganism Immunity Section,0.2146118721461187
RML Microscopy Unit,Molecular Genetics Section (Laboratory of Bacteriology),0.21428571428571427
Structural Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.21428571428571427
Viral Pathogenesis Section (Laboratory of Viral Diseases),Viral Biology Section,0.21428571428571427
Viral Immunology Section,Translational Immunobiology Unit,0.21374045801526717
T-Lymphocyte Biology Section,Inflammation Biology Section,0.21359223300970873
Metaorganism Immunity Section,HIV-Specific Immunity Section,0.21333333333333335
RML Microscopy Unit,Coxiella Pathogenesis Section,0.21333333333333335
Viral Biology Section,Nonhuman Primate Virology Section,0.21301775147928995
Virus Ecology Section,RNA Viruses Section,0.21301775147928995
T-Lymphocyte Biology Section,HIV Immunovirology Section,0.2125984251968504
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Genetic Immunotherapy Section,0.21237458193979933
Structural Immunology Section,Signaling Systems Section,0.21212121212121213
Viral Pathogenesis and Evolution Section,RNA Viruses Section,0.2119815668202765
Malaria Immunology Section,Chlamydial Diseases Section,0.21195652173913043
Pathogenesis and Immunity Section,Helminth Immunology Section,0.21193415637860083
Vaccine Development Unit,Helminth Immunology Section,0.21193415637860083
Immune Activation Section,B-Cell Molecular Immunology Section,0.211864406779661
Molecular Signaling Section,B-Cell Molecular Immunology Section,0.211864406779661
Molecular Development of the Immune System Section,HIV-Specific Immunity Section,0.21171171171171171
Molecular Biology Section,Malaria Infection Biology and Immunity Unit,0.21153846153846154
Pathogen Molecular Genetics Section,Coxiella Pathogenesis Section,0.21153846153846154
Lymphocyte Biology Section,Autoimmunity and Functional Genomics Section,0.21142857142857144
Molecular and Cellular Immunoregulation Section,Cellular Biology Section,0.21138211382113822
Salmonella-Host Cell Interactions Section,Coxiella Pathogenesis Section,0.21138211382113822
Molecular Pathogenesis Unit,Infectious Disease Pathogenesis Section,0.2112676056338028
Viral Budding Unit,TSE/Prion Molecular Biology Section,0.2112676056338028
Immune Activation Section,B-Cell Immunology Section,0.21120689655172414
Molecular Signaling Section,B-Cell Immunology Section,0.21120689655172414
Type 2 Immunity Section,Autoimmunity and Functional Genomics Section,0.2111111111111111
Caliciviruses Section,Biology of Vector-Borne Viruses Section,0.21100917431192662
TSE/Prion Molecular Biology Section,Retroviral Immunology Section,0.21052631578947367
Viral Biology Section,Innate Immunity and Pathogenesis Section,0.21052631578947367
Malaria Genetics Section,Malaria Cell Biology Section,0.21014492753623187
Viral Immunity and Pathogenesis Unit,Molecular and Cellular Immunoregulation Section,0.21014492753623187
Molecular Pathogenesis and Biomarkers Section,Immunity to Pulmonary Pathogens Section,0.2097902097902098
Structural Virology Section,RML Flow Cytometry Unit,0.20967741935483872
Mucosal Immunobiology Section,Cellular Immunology Section,0.20903954802259886
Mucosal Immunobiology Section,B-Cell Immunology Section,0.208955223880597
Mucosal Immunobiology Section,Molecular and Cellular Immunoregulation Section,0.208955223880597
Molecular Biology Section,Lymphocyte Biology Section,0.20855614973262032
Plague Section,Immunity to Pulmonary Pathogens Section,0.20833333333333334
Viral Budding Unit,Innate Immunity and Pathogenesis Section,0.20833333333333334
Tuberculosis Research Section,Pathogen Molecular Genetics Section,0.20810810810810812
Molecular Parasitology Section,Malaria Infection Biology and Immunity Unit,0.2076923076923077
Malaria Cell Biology Section,Emerging Respiratory Viruses Section,0.2074468085106383
Medical Virology Section,Malaria Cell Biology Section,0.2074468085106383
Molecular Development of the Immune System Section,Immunobiology Section,0.20735785953177258
Lymphocyte Biology Section,HIV-Specific Immunity Section,0.2072072072072072
Cellular Immunology Section,Autoimmunity and Functional Genomics Section,0.20710059171597633
Nonhuman Primate Virology Section,DNA Tumor Virus Section,0.20689655172413793
Translational Immunobiology Unit,Retroviral Immunology Section,0.20689655172413793
Viral Biochemistry Section,Innate Immunity and Pathogenesis Section,0.20689655172413793
