section_a,section_b,project_cat_similarity
Viral Pathogenesis Section (Laboratory of Viral Diseases),Genetic Engineering Section,0.44554455445544555
Plague Section,Biology of Vector-Borne Viruses Section,0.4444444444444444
Vector Molecular Biology Section,Vector Biology Section,0.4426229508196721
Intracellular Parasite Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.4411764705882353
Retroviral Immunology Section,Molecular Biology Section,0.44
Viral Pathogenesis and Vaccine Section,Molecular Biology Section,0.4375
Molecular Biology Section,Chlamydial Diseases Section,0.43636363636363634
Viral Pathogenesis Section (Laboratory of Viral Diseases),Viral Immunology Section,0.43373493975903615
Mosquito Immunity and Vector Competence Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.43333333333333335
Structural Immunology Section,B-Cell Molecular Immunology Section,0.43333333333333335
Pathogenesis and Immunity Section,Malaria Cell Biology Section,0.4327956989247312
Vaccine Development Unit,Malaria Cell Biology Section,0.4327956989247312
Innate Immunity and Pathogenesis Section,Inflammation & Innate Immunity Unit,0.42857142857142855
Malaria Functional Genomics Section,Apicomplexan Molecular Physiology Section,0.42857142857142855
Malaria Infection Biology and Immunity Unit,Innate Immunity and Pathogenesis Section,0.42857142857142855
Mucosal Immunobiology Section,Metaorganism Immunity Section,0.42857142857142855
Viral Budding Unit,Viral Biochemistry Section,0.42857142857142855
Vector Biology Section,Chlamydial Diseases Section,0.4264705882352941
Retroviral Immunology Section,Chlamydial Diseases Section,0.42592592592592593
Pathogen Molecular Genetics Section,B-Cell Molecular Immunology Section,0.425
Lung and Vascular Inflammation Section,Cell Signaling and Immunity Section,0.42424242424242425
Molecular Genetics Section (Laboratory of Bacteriology),Intracellular Parasite Biology Section,0.42424242424242425
Retroviral Immunology Section,HIV-Specific Immunity Section,0.42424242424242425
Microbial Pathogenesis Section,Genetic Engineering Section,0.424
Molecular Pathogenesis and Biomarkers Section,Malaria Immunology Section,0.423728813559322
T-Cell Tolerance and Memory Section,Chlamydial Diseases Section,0.423728813559322
LID Clinical Studies Unit,B-Cell Immunology Section,0.4230769230769231
T-Cell Tolerance and Memory Section,Plague Section,0.4230769230769231
Virus Ecology Section,T-Lymphocyte Biology Section,0.4230769230769231
Coxiella Pathogenesis Section,B-Cell Molecular Immunology Section,0.42105263157894735
Molecular Parasitology Section,Immunobiology Section,0.42105263157894735
Viral Pathogenesis and Evolution Section,Viral Immunology Section,0.42105263157894735
Chemotaxis Signal Section,B-Cell Molecular Immunology Section,0.41935483870967744
Signaling Systems Section,Computational Biology Unit,0.41935483870967744
Lymphocyte Biology Section,Genetic Engineering Section,0.4186046511627907
Immunobiology Section,Immunity to Pulmonary Pathogens Section,0.4166666666666667
Lymphocyte Activation Section,HIV-Specific Immunity Section,0.4166666666666667
Malaria Infection Biology and Immunity Unit,Fungal Pathogenesis Section,0.4166666666666667
Structural Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.4166666666666667
Nonhuman Primate Virology Section,HIV-Specific Immunity Section,0.4153846153846154
Vector Biology Section,Molecular Biology Section,0.4153846153846154
Plague Section,B-Cell Molecular Immunology Section,0.4146341463414634
Viral Pathogenesis and Vaccine Section,Intracellular Parasite Biology Section,0.4146341463414634
Molecular Parasitology Section,Metaorganism Immunity Section,0.41414141414141414
Mosquito Immunity and Vector Competence Section,Molecular Genetics Section (Laboratory of Bacteriology),0.41379310344827586
Viral Immunology Section,Disease Modeling and Transmission Section,0.4132231404958678
Coxiella Pathogenesis Section,Biology of Vector-Borne Viruses Section,0.4117647058823529
Signaling Systems Section,Functional Cellular Networks Section,0.4117647058823529
Viral Immunology Section,Immunity to Pulmonary Pathogens Section,0.4117647058823529
Plague Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.41025641025641024
Structural Immunology Section,Molecular and Cellular Immunology Section,0.41025641025641024
Viral Pathogenesis and Evolution Section,Lymphocyte Biology Section,0.40939597315436244
Signaling Systems Section,Pathogen-Host Cell Biology Section,0.4090909090909091
Structural Biology Section,Biology of Vector-Borne Viruses Section,0.4090909090909091
Lymphocyte Biology Section,Immunobiology Section,0.40869565217391307
Viral Pathogenesis Section (Laboratory of Viral Diseases),T-Cell Tolerance and Memory Section,0.40789473684210525
Vector Biology Section,Immunity to Pulmonary Pathogens Section,0.4057971014492754
Viral Pathogenesis Section (Laboratory of Viral Diseases),Plague Section,0.4057971014492754
Molecular Parasitology Section,Genetic Engineering Section,0.40540540540540543
Nonhuman Primate Virology Section,Intracellular Parasite Biology Section,0.40476190476190477
Metaorganism Immunity Section,Immunobiology Section,0.4044943820224719
Neuroimmunology Unit,B-Cell Molecular Immunology Section,0.40384615384615385
Metaorganism Immunity Section,Lymphocyte Biology Section,0.40336134453781514
Vector Biology Section,Plague Section,0.4032258064516129
Microbial Pathogenesis Section,Lymphocyte Biology Section,0.4014084507042254
Cellular Immunology Section,B-Cell Molecular Immunology Section,0.4
Immunity to Pulmonary Pathogens Section,Coxiella Pathogenesis Section,0.4
Inflammation & Innate Immunity Unit,Epithelial Therapeutics Unit,0.4
LID Clinical Studies Unit,Inflammation & Innate Immunity Unit,0.4
LID Clinical Studies Unit,Innate Immunity and Pathogenesis Section,0.4
Malaria Infection Biology and Immunity Unit,LID Clinical Studies Unit,0.4
Molecular Biology Section,Intracellular Parasite Biology Section,0.4
Molecular Defenses Section,B-Cell Molecular Immunology Section,0.4
Molecular Genetics Section (Laboratory of Bacteriology),Coxiella Pathogenesis Section,0.4
Molecular Pathology Section,Cell Signaling and Immunity Section,0.4
Quantitative Virology and Evolution Unit,Innate Immunity and Pathogenesis Section,0.4
Structural Biology Section,Malaria Infection Biology and Immunity Unit,0.4
Structural Immunology Section,Functional Cellular Networks Section,0.4
Structural Informatics Unit,Inflammation & Innate Immunity Unit,0.4
Structural Informatics Unit,Innate Immunity and Pathogenesis Section,0.4
T-Cell Tolerance and Memory Section,Immunity to Pulmonary Pathogens Section,0.4
Viral Biology Section,Functional Cellular Networks Section,0.4
Viral Budding Unit,Viral Biology Section,0.4
Viral Immunology Section,Molecular Biology Section,0.4
Viral Pathogenesis Section (Laboratory of Immunoregulation),B-Cell Immunology Section,0.4
Viral Pathogenesis and Vaccine Section,HIV-Specific Immunity Section,0.4
Vector Biology Section,Malaria Immunology Section,0.3968253968253968
Vector Molecular Biology Section,Cell Signaling and Immunity Section,0.39655172413793105
Immunopathogenesis Section (Laboratory of Immunoregulation),Helminth Immunology Section,0.3963963963963964
Viral Pathogenesis and Vaccine Section,Chlamydial Diseases Section,0.39622641509433965
Signaling Systems Section,Molecular Biology Section,0.3958333333333333
Molecular Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.3953488372093023
Pathogen-Host Cell Biology Section,Coxiella Pathogenesis Section,0.3953488372093023
Molecular and Cellular Immunology Section,Molecular Parasitology Section,0.3950617283950617
Mucosal Immunobiology Section,Mucosal Immunity Section,0.39473684210526316
T-Lymphocyte Biology Section,Epidemiology and Population Studies Unit,0.39473684210526316
Caliciviruses Section,Biology of Vector-Borne Viruses Section,0.3939393939393939
Multiscale Systems Biology Section,B-Cell Immunology Section,0.3939393939393939
Structural Immunology Section,Salmonella-Host Cell Interactions Section,0.3939393939393939
Systems Genomics Section,Multiscale Systems Biology Section,0.3939393939393939
Immunopathogenesis Section (Laboratory of Immunoregulation),Clinical and Molecular Retrovirology Section,0.391304347826087
Molecular and Cellular Immunology Section,B-Cell Molecular Immunology Section,0.391304347826087
Salmonella-Host Cell Interactions Section,Mucosal Immunobiology Section,0.391304347826087
Molecular Pathology Section,Lung and Vascular Inflammation Section,0.3898305084745763
HIV-Specific Immunity Section,Cell Signaling and Immunity Section,0.38961038961038963
Viral Pathogenesis Section (Laboratory of Viral Diseases),Disease Modeling and Transmission Section,0.3893129770992366
Immunopathogenesis Section (Laboratory of Immunoregulation),Clinical Research Section,0.3888888888888889
Molecular and Cellular Immunology Section,Molecular Biology Section,0.3888888888888889
Vector Molecular Biology Section,T-Cell Tolerance and Memory Section,0.3888888888888889
Viral Pathogenesis Section (Laboratory of Viral Diseases),Immunobiology Section,0.3888888888888889
Virus Ecology Section,Inflammation & Innate Immunity Unit,0.3888888888888889
Virus Ecology Section,Innate Immunity and Pathogenesis Section,0.3888888888888889
Lymphocyte Biology Section,HIV-Specific Immunity Section,0.3879310344827586
Pathogen Molecular Genetics Section,Molecular Biology Section,0.3877551020408163
T-Cell Tolerance and Memory Section,B-Cell Molecular Immunology Section,0.3877551020408163
T-Cell Tolerance and Memory Section,Caliciviruses Section,0.3877551020408163
Vector Molecular Biology Section,Retroviral Immunology Section,0.3877551020408163
International HIV/STD Section,Helminth Immunology Section,0.38666666666666666
Molecular Biology Section,Immunity to Pulmonary Pathogens Section,0.38596491228070173
Molecular Biology Section,Immunobiology Section,0.38571428571428573
Chlamydial Diseases Section,Cell Signaling and Immunity Section,0.38461538461538464
Coxiella Pathogenesis Section,Caliciviruses Section,0.38461538461538464
Functional Cellular Networks Section,Chemotaxis Signal Section,0.38461538461538464
Structural Immunology Section,Molecular Biology Section,0.38461538461538464
Vector Molecular Biology Section,Molecular Genetics Section (Laboratory of Bacteriology),0.38461538461538464
Viral Pathogenesis and Vaccine Section,Vector Molecular Biology Section,0.3829787234042553
Molecular Parasitology Section,Molecular Biology Section,0.38271604938271603
Immunobiology Section,Genetic Engineering Section,0.38235294117647056
Vector Biology Section,Molecular Genetics Section (Laboratory of Bacteriology),0.38181818181818183
Pathogen Molecular Genetics Section,Molecular and Cellular Immunology Section,0.38
Molecular and Cellular Immunology Section,Immunity to Pulmonary Pathogens Section,0.3793103448275862
Immunopathogenesis Section (Laboratory of Immunoregulation),HIV-Specific Immunity Section,0.37894736842105264
Host-Pathogen Interactions and Structural Vaccinology Section,Coxiella Pathogenesis Section,0.3783783783783784
Molecular Biology Section,Metaorganism Immunity Section,0.3783783783783784
Pathogen Molecular Genetics Section,Biology of Vector-Borne Viruses Section,0.3783783783783784
Scientist Emerita,Nonhuman Primate Virology Section,0.3783783783783784
Viral Pathogenesis Section (Laboratory of Immunoregulation),Retroviral Immunology Section,0.3783783783783784
Viral Pathogenesis Section (Laboratory of Viral Diseases),Molecular Biology Section,0.3783783783783784
Viral Pathogenesis and Vaccine Section,Genetic Engineering Section,0.3780487804878049
Signaling Systems Section,Plague Section,0.37777777777777777
Pathogen Molecular Genetics Section,Immunity to Pulmonary Pathogens Section,0.37735849056603776
Helminth Immunology Section,Clinical and Molecular Retrovirology Section,0.37623762376237624
Microbial Pathogenesis Section,Immunity to Pulmonary Pathogens Section,0.37623762376237624
Innate Immunity and Pathogenesis Section,Host-Parasite Interactions Section,0.375
Molecular Genetics Section (Laboratory of Bacteriology),Host-Pathogen Interactions and Structural Vaccinology Section,0.375
Quantitative Virology and Evolution Unit,Fungal Pathogenesis Section,0.375
Scientist Emerita,Intracellular Parasite Biology Section,0.375
Structural Informatics Unit,Epithelial Therapeutics Unit,0.375
T-Cell Tolerance and Memory Section,Retroviral Immunology Section,0.375
Translational Autoinflammatory Disease Studies Unit,Primary Immune Deficiency Clinic,0.375
Vector Biology Section,Gene Regulation Section,0.375
Vector Molecular Biology Section,Nonhuman Primate Virology Section,0.375
Vector Biology Section,HIV-Specific Immunity Section,0.37349397590361444
Viral Immunology Section,Immunobiology Section,0.37349397590361444
Nonhuman Primate Virology Section,Cell Signaling and Immunity Section,0.3728813559322034
Coxiella Pathogenesis Section,Chlamydial Diseases Section,0.37254901960784315
Viral Immunology Section,Molecular Parasitology Section,0.3723404255319149
T-Lymphocyte Biology Section,Molecular Biology Section,0.37209302325581395
Vector Biology Section,Lymphocyte Activation Section,0.371900826446281
Viral Pathogenesis Section (Laboratory of Viral Diseases),Chlamydial Diseases Section,0.3717948717948718
Molecular Biology Section,HIV-Specific Immunity Section,0.37142857142857144
Signaling Systems Section,Chemotaxis Signal Section,0.37142857142857144
Structural Immunology Section,Pathogen Molecular Genetics Section,0.37142857142857144
T-Lymphocyte Biology Section,B-Cell Immunology Section,0.37142857142857144
T-Lymphocyte Biology Section,B-Cell Molecular Immunology Section,0.37142857142857144
Molecular Biology Section,Cell Signaling and Immunity Section,0.3709677419354839
Viral Immunology Section,Pathogen Molecular Genetics Section,0.3709677419354839
Intracellular Parasite Biology Section,Cell Signaling and Immunity Section,0.37037037037037035
Molecular and Cellular Immunoregulation Section,Integrative Immunobiology Section,0.37037037037037035
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Genetic Immunotherapy Section,0.3698630136986301
LID Clinical Studies Unit,HIV Immunovirology Section,0.3684210526315789
Vector Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.3684210526315789
Virus Ecology Section,Epithelial Therapeutics Unit,0.3684210526315789
Virus Ecology Section,Structural Biology Section,0.3684210526315789
HIV Immunovirology Section,B-Cell Immunology Section,0.36666666666666664
Molecular Genetics Section (Laboratory of Bacteriology),Biology of Vector-Borne Viruses Section,0.36666666666666664
Multiscale Systems Biology Section,Molecular Genetics Section (Laboratory of Bacteriology),0.36666666666666664
T-Lymphocyte Biology Section,Immunobiology Section,0.36666666666666664
Vector Biology Section,Helminth Immunology Section,0.36633663366336633
Vector Biology Section,T-Cell Tolerance and Memory Section,0.36619718309859156
Viral Pathogenesis and Vaccine Section,Viral Pathogenesis Section (Laboratory of Viral Diseases),0.36619718309859156
Molecular and Cellular Immunology Section,Chemotaxis Signal Section,0.36585365853658536
Translational Mycology Section,Retroviral Immunology Section,0.36585365853658536
Vector Molecular Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.36585365853658536
Microbial Pathogenesis Section,Immunobiology Section,0.3652173913043478
Molecular Parasitology Section,Microbial Pathogenesis Section,0.36507936507936506
Mucosal Immunobiology Section,Cellular Immunology Section,0.36507936507936506
Retroviral Immunology Section,Cellular Immunology Section,0.36507936507936506
Viral Pathogenesis and Vaccine Section,Viral Immunology Section,0.36507936507936506
HIV-Specific Immunity Section,Chlamydial Diseases Section,0.36486486486486486
Metaorganism Immunity Section,Cellular Immunology Section,0.36470588235294116
Host-Pathogen Interactions and Structural Vaccinology Section,Apicomplexan Molecular Physiology Section,0.36363636363636365
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Immunobiology Section,0.36363636363636365
Structural Immunology Section,Coxiella Pathogenesis Section,0.36363636363636365
T-Cell Tolerance and Memory Section,Cell Signaling and Immunity Section,0.36363636363636365
T-Cell Tolerance and Memory Section,Nonhuman Primate Virology Section,0.36363636363636365
Vector Molecular Biology Section,Chlamydial Diseases Section,0.36363636363636365
Malaria Immunology Section,Malaria Genetics Section,0.3625
Plague Section,Pathogen-Host Cell Biology Section,0.3617021276595745
Molecular Parasitology Section,Lymphocyte Biology Section,0.36153846153846153
Host-Pathogen Interactions and Structural Vaccinology Section,B-Cell Immunology Section,0.3611111111111111
Immunopathogenesis Section (Laboratory of Immunoregulation),B-Cell Immunology Section,0.3611111111111111
Neuroimmunology Unit,Cellular Immunology Section,0.3611111111111111
Structural Immunology Section,Pathogen-Host Cell Biology Section,0.3611111111111111
Viral Pathogenesis Section (Laboratory of Immunoregulation),Malaria Immunology Section,0.3611111111111111
Viral Pathogenesis Section (Laboratory of Immunoregulation),Nonhuman Primate Virology Section,0.3611111111111111
Intracellular Parasite Biology Section,Immunity to Pulmonary Pathogens Section,0.36
Retroviral Immunology Section,Malaria Immunology Section,0.36
T-Cell Tolerance and Memory Section,Intracellular Parasite Biology Section,0.36
Vector Biology Section,Genetic Engineering Section,0.36
Lymphocyte Biology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.359375
Viral Pathogenesis and Vaccine Section,Vector Biology Section,0.359375
Molecular and Cellular Immunology Section,Lymphocyte Biology Section,0.3592233009708738
Viral Pathogenesis Section (Laboratory of Viral Diseases),Molecular Parasitology Section,0.3592233009708738
Mucosal Immunobiology Section,Molecular Biology Section,0.3584905660377358
T-Cell Tolerance and Memory Section,Signaling Systems Section,0.3584905660377358
Pathogen Molecular Genetics Section,Immunobiology Section,0.3582089552238806
Microbial Pathogenesis Section,Cellular Biology Section,0.35766423357664234
Immune Activation Section,Biology of Vector-Borne Viruses Section,0.35714285714285715
Molecular Biology Section,Biology of Vector-Borne Viruses Section,0.35714285714285715
Molecular Signaling Section,Biology of Vector-Borne Viruses Section,0.35714285714285715
Multiscale Systems Biology Section,Molecular Biology Section,0.35714285714285715
Multiscale Systems Biology Section,Molecular and Cellular Immunoregulation Section,0.35714285714285715
Salmonella-Host Cell Interactions Section,Coxiella Pathogenesis Section,0.35714285714285715
Scientist Emerita,Multiscale Systems Biology Section,0.35714285714285715
Structural Virology Section,Molecular HIV Host Interactions Section,0.35714285714285715
Metaorganism Immunity Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.3564356435643564
Molecular Biology Section,Genetic Engineering Section,0.3563218390804598
Viral Pathogenesis and Vaccine Section,Cell Signaling and Immunity Section,0.3559322033898305
Gene Regulation Section,Coxiella Pathogenesis Section,0.35555555555555557
Mucosal Immunity Section,Cellular Immunology Section,0.35555555555555557
Mucosal Immunobiology Section,B-Cell Immunology Section,0.35555555555555557
Mucosal Immunobiology Section,B-Cell Molecular Immunology Section,0.35555555555555557
Retroviral Immunology Section,B-Cell Immunology Section,0.35555555555555557
Salmonella-Host Cell Interactions Section,Pathogen-Host Cell Biology Section,0.35555555555555557
Vector Biology Section,Cell Signaling and Immunity Section,0.35526315789473684
Immunity to Pulmonary Pathogens Section,Chlamydial Diseases Section,0.3548387096774194
Neuroimmunology Unit,Molecular Biology Section,0.3548387096774194
Nonhuman Primate Virology Section,Cellular Immunology Section,0.3548387096774194
T-Lymphocyte Biology Section,Biology of Vector-Borne Viruses Section,0.3548387096774194
Immunity to Pulmonary Pathogens Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.3541666666666667
T-Cell Tolerance and Memory Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.3541666666666667
Viral Pathogenesis Section (Laboratory of Viral Diseases),Metaorganism Immunity Section,0.3541666666666667
Immunobiology Section,Cellular Immunology Section,0.35365853658536583
Biology of Vector-Borne Viruses Section,B-Cell Molecular Immunology Section,0.35294117647058826
HIV Immunovirology Section,Barrier Immunity Section,0.35294117647058826
Helminth Immunology Section,Clinical Research Section,0.35294117647058826
Human Eosinophil Section,Fungal Pathogenesis Section,0.35294117647058826
Intracellular Parasite Biology Section,Biology of Vector-Borne Viruses Section,0.35294117647058826
Molecular Defenses Section,Hepatic Pathogenesis Section,0.35294117647058826
Molecular Genetics Section (Laboratory of Viral Diseases),DNA Tumor Virus Section,0.35294117647058826
Mosquito Immunity and Vector Competence Section,Infectious Disease Fellowship Training Program,0.35294117647058826
Multiscale Systems Biology Section,B-Cell Molecular Immunology Section,0.35294117647058826
Scientist Emerita,Coxiella Pathogenesis Section,0.35294117647058826
Vector Molecular Biology Section,HIV-Specific Immunity Section,0.35294117647058826
Molecular and Cellular Immunology Section,Genetic Engineering Section,0.3522727272727273
T-Cell Tolerance and Memory Section,Pathogen Molecular Genetics Section,0.35185185185185186
Immunity to Pulmonary Pathogens Section,Genetic Engineering Section,0.3516483516483517
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Helminth Immunology Section,0.3515625
Clinical Pathophysiology Section,Chemotaxis Signal Section,0.35135135135135137
Signaling Systems Section,Multiscale Systems Biology Section,0.35135135135135137
Viral Pathogenesis and Vaccine Section,Scientist Emerita,0.35135135135135137
Molecular Pathogenesis and Biomarkers Section,Intracellular Parasite Biology Section,0.3508771929824561
Viral Pathogenesis Section (Laboratory of Viral Diseases),Cellular Biology Section,0.3508771929824561
Tuberculosis Research Section,Disease Modeling and Transmission Section,0.35051546391752575
Host-Pathogen Interactions and Structural Vaccinology Section,Epidemiology and Population Studies Unit,0.35
LID Clinical Studies Unit,Human Eosinophil Section,0.35
Molecular Genetics Section (Laboratory of Bacteriology),Malaria Immunology Section,0.35
Nonhuman Primate Virology Section,Molecular Parasitology Section,0.35
Pathogen Molecular Genetics Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.35
Nonhuman Primate Virology Section,Molecular Microbiology Section,0.3492063492063492
Molecular Genetics Section (Laboratory of Bacteriology),Molecular Biology Section,0.3488372093023256
Pathogen-Host Cell Biology Section,B-Cell Molecular Immunology Section,0.3488372093023256
Plague Section,Caliciviruses Section,0.3488372093023256
Molecular and Cellular Immunology Section,Cellular Immunology Section,0.3484848484848485
Viral Immunology Section,Microbial Pathogenesis Section,0.3482142857142857
Malaria Infection Biology and Immunity Unit,Autoimmunity and Functional Genomics Section,0.34782608695652173
Signaling Systems Section,Clinical Pathophysiology Section,0.34782608695652173
T-Cell Tolerance and Memory Section,Cellular Immunology Section,0.34782608695652173
Vector Biology Section,Lyme Disease Studies Unit,0.3472222222222222
Molecular and Cellular Immunology Section,Coxiella Pathogenesis Section,0.3469387755102041
Viral Pathogenesis Section (Laboratory of Viral Diseases),Lymphocyte Biology Section,0.3467741935483871
Molecular Biology Section,Gene Regulation Section,0.34615384615384615
Pathogen-Host Cell Biology Section,Molecular and Cellular Immunology Section,0.34615384615384615
Plague Section,Molecular and Cellular Immunology Section,0.34615384615384615
Vector Molecular Biology Section,Molecular Biology Section,0.34615384615384615
Virus Ecology Section,Multiscale Systems Biology Section,0.34615384615384615
Viral Pathogenesis and Evolution Section,Molecular Parasitology Section,0.34558823529411764
Plague Section,Chlamydial Diseases Section,0.34545454545454546
T-Cell Tolerance and Memory Section,Clinical Pathophysiology Section,0.34545454545454546
Multiscale Systems Biology Section,Integrative Immunobiology Section,0.3448275862068966
Scientist Emerita,Autoimmunity and Functional Genomics Section,0.3448275862068966
T-Cell Tolerance and Memory Section,Molecular Parasitology Section,0.3448275862068966
